company,work_format,requirements,salary_num
Aston,Офис / Гибрид,Разработка под 1С,87000
"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Docker, PostgreSQL, Redis, Kubernetes, REST",
Т-Банк,Офис / Гибрид,"PostgreSQL, Apache Kafka, Apache Cassandra, Prometheus, Golang, Kubernetes",
Aston,Офис / Гибрид,"Apache Kafka, Сеть хранения данных, REST, JSON, HTTP, WebSockets, RESTful API, Langgraph, Git, Docker",
Aston,Офис / Гибрид,"Python, Apache Kafka, Apache JMeter",
СберЗдоровье,Офис / Гибрид,Проведение исследований,
True Engineering,Офис / Гибрид,"SQL, PostgreSQL, Системный анализ, Бизнес аналитика, BPMN, UML, Анализ требований, ER-диаграммы",
Золотое Яблоко,Офис / Гибрид,"OWASP, Тестирование на проникновение, Burp Suite",
ГНИВЦ,Офис / Гибрид,"Git, PostgreSQL, Python",
Aston,Офис / Гибрид,"Apache JMeter, Linux",
Aston,Офис / Гибрид,"Микросервисная архитектура, ArchiMate, Высоконагруженные системы, REST, Apache Kafka, RabbitMQ, SOAP, Java",
Контур,Офис / Гибрид,"LLM, Linux",
СберЗдоровье,Офис / Гибрид,"RnD, LLM, Agentic systems ",
СберЗдоровье,Офис / Гибрид,"SQL, B2B",
СберЗдоровье,Офис / Гибрид,"Автоматизация процессов, B2B, SQL",
Navio,Офис / Гибрид,"Python, C++, Алгоритмы и структуры данных, Оптимизация кода, Машинное обучение, Нейронные сети, PyTorch, TensorFlow, Reinforcement learning, Deep Learning",
Дневник.ру,Офис / Гибрид,"Python, Keras, TensorFlow, PyTorch, Машинное обучение, Linux, Docker, Git, Bash",
Урал Логистика,Офис / Гибрид,"Машинное обучение, Linux, PyTorch, Python, SQL",
ИТ-Холдинг Т1,Офис / Гибрид,B2B,
МТС Банк,Офис / Гибрид,"Apache Airflow, SQL",
ANCOR,Офис / Гибрид,"Управление людьми, Работа в команде",
Альфа-Банк,Офис / Гибрид,"Python, SQL",
Альфа-Банк,Офис / Гибрид,"Apache Hadoop, Apache Spark, SQL",
BI.ZONE,Офис / Гибрид,"Linux, Firewall, Информационная безопасность, Администрирование Linux, Сетевые технологии, Сетевая безопасность",
СОГАЗ,Офис / Гибрид,"Docker, Cuda, CI/CD, Kubernetes, LLM",
ИТ-компания «Лоция»,Офис / Гибрид,"CI/CD, Kubernetes, Docker, Nginx, Microsoft Azure",
Cloud.ru,Офис / Гибрид,"Работа в команде, Agile, Waterfall",
Яндекс,Офис / Гибрид,"Python, Docker, PyTorch, Deep Learning, NLP, LLM, Reinforcement learning",
hirix,Офис / Гибрид,"Английский язык, Продажи, B2B, Saas",
Яндекс,Офис / Гибрид,"Python, Golang, MongoDB, PostgreSQL",
Крона Лабс,Офис / Гибрид,"Python, OpenCV, Deep Learning, Компьютерное зрение, Agentic systems , FastAPI, Langgraph, DeepEval, Langfuse, vLLM",300000
deeplay,Офис / Гибрид,"Frida, Python, C#",
ИТ-Холдинг Т1,Офис / Гибрид,"ООП, Java",
Okko,Офис / Гибрид,"Python, NLP, SQL",
Selecty,Офис / Гибрид,"Python, GPT, LLM, Компьютерное зрение, FastAPI, PostgreSQL, Redis, Kubernetes, Yandex.Cloud, WebSockets",400000
True Engineering,Офис / Гибрид,"ORM, Нейронные сети, TensorFlow, Git, PostgreSQL, Keras, PyTorch, NumPy, Pandas, Python",
СберСпасибо,Офис / Гибрид,"REST, Базы данных, Python, SQL",
МТС Банк,Офис / Гибрид,"Linux, DevOps, FastAPI, CI/CD, vLLM",
SimbirSoft,Офис / Гибрид,Python,
Группа Rubytech,Офис / Гибрид,"Pandas, NumPy, MatPlotLib, SQL, Python, Tableau, PowerBI",
Extyl,Офис / Гибрид,"Python, PyTorch, OpenCV",
Яндекс,Офис / Гибрид,"Deep Learning, NLP, LLM, PyTorch, Python",
Яндекс,Офис / Гибрид,"Golang, Управление людьми, Управление проектами",
deeplay,Офис / Гибрид,"Linux, Frida, Ghidra, Wireshark",
Okko,Офис / Гибрид,"Python, LLM, CI/CD, REST",
Flex Databases,Офис / Гибрид,"Администрирование Windows, Диагностика и мониторинг, DNS, Firewall, Ansible, Jenkins, CI/CD, Powershell, AWS, Git",
РИОН,Офис / Гибрид,"Информационная безопасность, C++, Разработка драйверов, Windows API, WinDbg, Rust, Системное программирование",
Т-Банк,Офис / Гибрид,"Git, PostgreSQL, Ansible, Linux, Terraform, Docker, Python, Kubernetes, Bash",
МТС Web Services,Офис / Гибрид,"Python, Golang, CI/CD, SQL",
Marfatech,Офис / Гибрид,"Python, Автоматизация тестирования",
IT-hunter,Офис / Гибрид,"Python, MySQL, Redis, Golang, Linux",
Яндекс,Офис / Гибрид,"Python, NLP, LLM, Langgraph",
Солар,Офис / Гибрид,"NGFW, SIEM, Информационная безопасность",
Cloud.ru,Офис / Гибрид,"SIEM, Linux, Firewall",
Bell Integrator,Офис / Гибрид,"SQL, PostgreSQL, REST, Apache Kafka, JSON, Тестирование API",
Урал Логистика,Офис / Гибрид,"Docker, LangChain, vLLM, Qdrant, Kubernetes, SQL, FastAPI, Python",
Hireway,Офис / Гибрид,"PostgreSQL, Docker, Linux, Английский язык",285000
