source,title,company,city,work_format,requirements,salary,link
Habr Career,Младший growth-маркетолог,ANCOR,Не указан,Офис / Гибрид,"Работа в команде, Информационные технологии",,https://career.habr.com/vacancies/1000168561
Habr Career,Младший growth-маркетолог,ANCOR,Не указан,Офис / Гибрид,"Работа в команде, Информационные технологии",,https://career.habr.com/vacancies/1000168562
Habr Career,Backend-разработчик php (yii2),ТТК Диджитал,Не указан,Офис / Гибрид,"PHP, Высоконагруженные системы, ООП, PostgreSQL, Oracle, Docker, Swagger, Разработка CRM, Базы данных, JavaScript",,https://career.habr.com/vacancies/1000166951
Habr Career,Лидер разработки в команду расчетных продуктов B2B,ДОМ.РФ,Не указан,Офис / Гибрид,Java,,https://career.habr.com/vacancies/1000168605
Habr Career,Системный администратор по IT инфраструктуре,Лига Цифровой Экономики,Не указан,Офис / Гибрид,"Nginx, Linux, Информационные технологии, Kubernetes, Apache Kafka",,https://career.habr.com/vacancies/1000166752
Habr Career,Аналитик данных ,CINIMEX,Не указан,Офис / Гибрид,Разработка ТЗ,,https://career.habr.com/vacancies/1000168594
Habr Career,NLP-разработчик в Алису,Яндекс,Не указан,Офис / Гибрид,NLP,,https://career.habr.com/vacancies/1000166117
Habr Career,Техлид в команду высокоточных цифровых дорожных карт,Navio,Не указан,Офис / Гибрид,"Python, Алгоритмы и структуры данных, Большие данные, Машинное обучение, Deep Learning, Нейронные сети, PyTorch, Компьютерное зрение",,https://career.habr.com/vacancies/1000164629
Habr Career,Senior Java-разработчик (Integration),Лига Цифровой Экономики,Не указан,Офис / Гибрид,"Spring Boot, Docker, Java, Kubernetes, Apache Kafka, Jenkins",,https://career.habr.com/vacancies/1000166753
Habr Career,"Старший продуктовый аналитик, Москва",VK,Не указан,Офис / Гибрид,"SQL, Python",,https://career.habr.com/vacancies/1000167043
Habr Career,Дата инженер/Инженер по данным,Bell Integrator,Не указан,Офис / Гибрид,"SQL, Python, Apache Spark, Apache Hadoop",,https://career.habr.com/vacancies/1000168309
Habr Career,Разработчик на Java/Kotlin в Финтех Яндекса,Яндекс,Не указан,Офис / Гибрид,"Java, Apache Kafka, PostgreSQL, Kubernetes, Redis, Kotlin, ClickHouse, Greenplum",,https://career.habr.com/vacancies/1000165674
Habr Career,Архитектор стрима,IT_One,Не указан,Офис / Гибрид,"Apache Hadoop, Apache Spark, ETL, REST, Apache Kafka, CI/CD",,https://career.habr.com/vacancies/1000168124
Habr Career,ML-инженер,АМА,Не указан,Офис / Гибрид,"Python, Git, Docker, SQL",от 300 000 до 400 000 ₽,https://career.habr.com/vacancies/1000168303
Habr Career,Аналитик BI/SQL,СОГАЗ,Не указан,Офис / Гибрид,"QlikView, SQL, Python",,https://career.habr.com/vacancies/1000168473
Habr Career,Ресерчер,Vital Partners,Не указан,Офис / Гибрид,Английский язык,,https://career.habr.com/vacancies/1000168501
Habr Career,Тимлид разработки в команду DWH,Авито,Не указан,Офис / Гибрид,"Java, Apache Flink, Apache Kafka, DWH, Python, Kubernetes",от 500 000 ₽,https://career.habr.com/vacancies/1000168291
Habr Career,1С Аналитик,Aston,Не указан,Офис / Гибрид,"1C: ERP, Высоконагруженные системы",,https://career.habr.com/vacancies/1000166122
Habr Career,Machine learning Engineer,Джетлин,Не указан,Офис / Гибрид,"Kubernetes, Apache Airflow, Redis, Prometheus, LLM, NLP, A/B тестирование, Python",,https://career.habr.com/vacancies/1000168444
Habr Career,Платформенный SRE,Cloud.ru,Не указан,Офис / Гибрид,CI/CD,,https://career.habr.com/vacancies/1000167161
